RefCode;Author;AuthorsAffiliation;AuthorsInstitute;UniversityCountry 
B003;Libertad Chapinal;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B014;Lindsey Button;Evolutionary and Behavioural Ecology Research Group, Department of Biological Sciences, Simon Fraser University, 8888 University Drive, Burnaby, BC V5A 1S6, Canada;Simon Fraser University;Canada
B013;Lora A. Morandin ;Ecological Consulting, Victoria, BC, Canada;Ecological Consulting;Canada
B016;Lora A. Morandin ;Department of Environmental Science, Policy and Management, University of California, Berkeley, 130 Mulford Hall, Berkeley, California 94720 USA;University of California;United States 
B003;Lucie Mota;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B010;Maj Rundlof;Department of Biology, Lund University, Lund, Sweden;Lund University;Sweden
B010;Maj Rundlof;Department of Entomology and Nematology, University of California, Davis, California;University of California;United States 
B008;Manuel Plantegenest;UMR IGEPP - Agrocampus Ouest, 65, rue de Saint Brieuc CS 84215 F-35042, Rennes - France;Institute for Genetics, Environment and Plant Protection;France
B002;Maria Perez-Marcos;Biological Pest Control & Ecosystem Services Laboratory, Institute of Agricultural and Environmental Research and Development (IMIDA), C/Mayor s/n, 30150 Murcia, Spain;Institute of Agricultural and Environmental Research and Development (IMIDA);Spain
B012;Matthias Albrecht;Agroscope, Agroecology and Environment, Zürich, Switzerland;Agroscope ;Switzerland
B017;N. Trandem;Norwegian Institute for Agricultural and Environmental Research (Bioforsk),Høgskoleveien 7,1432 Ås,Norway.;Norwegian Institute for Agricultural and Environmental Research (Bioforsk);Norway
B022 ;Nadia K. Toukem;International Centre of Insect Physiology and Ecology (Icipe), Nairobi 30772, Kenya;International Centre of Insect Physiology and Ecology (Icipe);Kenya
B022 ;Nadia K. Toukem;Department of Zoology and Entomology, University of Pretoria, Pretoria 0028, South Africa;University of Pretoria;South Africa 
B025 ;Natapot Warrit;Faculty of Science, Center of Excellence in Entomology & Department of Biology, Chulalongkorn University, Bangkok 10330, Thailand;Chulalongkorn University;Thailand
B024 ;Nathaniel J. Walton;Department of Entomology, Michigan State University, 205 Center for Integrated Plant Systems, East Lansing, MI 48824.;Michigan State University;United States 
B006;Neal Williams;Department of Entomology and Nematology, University of California, Davis, CA, USA;University of California;United States 
B006;Nikki L. Rothwell;Northwest Michigan Horticultural Research Center, Traverse City, MI;Michigan State University;United States 
B010;Ola Lundin;Department of Ecology, Swedish University of Agricultural Sciences, Uppsala, Sweden;Swedish University of Agricultural Sciences;Sweden
B003;Oscar Aguado;Grupo de Investigación en Compostaje UBUCOMP, Universidad de Burgos, Burgos, Spain;Universidad de Burgos;Spain
B001;Oumayma Ihsane;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Oumayma Ihsane;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B003;Paloma Alcorlo;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B001;Patrick Lhomme;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Patrick Lhomme;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B008;Paul Amouroux;Pontificia Universidad Catolica de Chile, Facultad de Agronomía e Ingeniería Forestal, Vicu~na Mackenna 4860, Santiago - Chile;Facultad de Agronomia e Ingenieria Forestal;Chile
B021;Paul Amouroux;Facultad de Agronomía e Ingeniería Forestal, Pontificia Universidad Católica de Chile, Av. Vicuña Mackenna 4860, Macul, Santiago, Chile;Pontificia Universidad Catolica de Chile;Chile
B020;Pedro del Estal;Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas, Universidad Politécnica de Madrid (ETSIAAB-UPM), Avenida Puerta de Hierro 2-4, 28040 Madrid, Spain;Universidad Politecnica de Madrid;Spain
B020;Pedro del Estal;Unidad Asociada IVAS (UPM-CSIC): Control de Insectos Vectores bajo sistemas de Agricultura Sostenible, 28040 Madrid, Spain;Unidad Asociada IVAS (UPM-CSIC) Control de Insectos Vectores bajo sistemas de Agricultura Sostenible;Spain
B001;Pierre Rasmont;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B020;Pilar Medina;Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas, Universidad Politécnica de Madrid (ETSIAAB-UPM), Avenida Puerta de Hierro 2-4, 28040 Madrid, Spain;Universidad Politecnica de Madrid;Spain
B020;Pilar Medina;Unidad Asociada IVAS (UPM-CSIC): Control de Insectos Vectores bajo sistemas de Agricultura Sostenible, 28040 Madrid, Spain;Unidad Asociada IVAS (UPM-CSIC) Control de Insectos Vectores bajo sistemas de Agricultura Sostenible;Spain
B025 ;Pornpimon Tangtorwongsakul;Conservation Ecology Program, King Mongkut’s University of Technology Thonburi (KMUTT), 49 Soi Tientalay 25, Bangkhuntien-Chaitalay Road, Thakham, Bangkhuntien, Bangkok 10150, Thailand;King Mongkuts University of Technology Thonburi;Thailand
B013;Rachel F. Long;University of California Cooperative Extension, 70 Cottonwood St., Woodland, CA 95695;University of California Cooperative Extension;United States 
B010;Riccardo Bommarco;Department of Ecology, Swedish University of Agricultural Sciences, Uppsala, Sweden;Swedish University of Agricultural Sciences;Sweden
B019 ;Robbin Thorp;"Department of Entomology at University of California in Davis, Davis, CA, USA;";University of California;United States 
B018 ;Roberto Heredia;Terrestrial Ecology Group, Department of Ecology, Universidad Aut´onoma de Madrid, Darwin 2, 28049 Madrid, Spain;Universidad Autonoma de Madrid;Spain
B007;Rosalind F. Shaw;University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE, UK;University of Exeter;United Kingdom
B006;Rufus Isaacs;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B022 ;Samira A. Mohamed;International Centre of Insect Physiology and Ecology (Icipe), Nairobi 30772, Kenya;International Centre of Insect Physiology and Ecology (Icipe);Kenya
B003;Silvia Castro;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B023 ;Simon Hodge;Department of Botany, School of Natural Sciences, Trinity College Dublin, Dublin, Republic of Ireland;Trinity College Dublin;Ireland
B001;Stefanie Christmann;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B019 ;Stephen D. Hendrix;Department of Biology at University of Iowa, Iowa City, IA, USA;University of Iowa;United States 
B006;Sujaya Rao;Department of Entomology, University of Minnesota, St. Paul, MN;University of Minnesota;United States 
B006;Sujaya Rao;Department of Crop and Soil Science, Oregon State University, Corvallis, OR;Oregon State University;United States 
B008;Tania Zaviezo;Pontificia Universidad Catolica de Chile, Facultad de Agronomía e Ingeniería Forestal, Vicu~na Mackenna 4860, Santiago - Chile;Facultad de Agronomia e Ingenieria Forestal;Chile
B021;Tania Zaviezo;Facultad de Agronomía e Ingeniería Forestal, Pontificia Universidad Católica de Chile, Av. Vicuña Mackenna 4860, Macul, Santiago, Chile;Pontificia Universidad Catolica de Chile;Chile
B006;Taylor H. Ricketts;Gund Institute for Environment, University of Vermont, VT, USA;University of Vermont;United States 
B017;Teja Tscharntke;Agroecology,Georg-August-University Göttingen,Grisebachstraße 6,37077 Göttingen,Germany;Georg-August-University Gottingen;Germany
B005;Thijs P.M. Fijen;Plant Ecology and Nature Conservation Group, Wageningen University, Droevendaalsesteeg 3a, 6708PB Wageningen, the Netherlands;Wageningen University;Netherlands
B022 ;Thomas Dubois;International Centre of Insect Physiology and Ecology (Icipe), Nairobi 30772, Kenya;International Centre of Insect Physiology and Ecology (Icipe);Kenya
B006;Thomas J. Wood;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B006;Thomas J. Wood;Laboratory of Zoology, University of Mons, Mons, Belgium;University of Mons;Belgium
B003;Violeta Hevia;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B004;Violeta Hevia;Departamento de Investigación Aplicada y Extensión Agraria, Instituto Madrileño de Investigación y Desarrollo Rural, Agrario y Alimentario, El Encín, 28805 Alcalá de Henares, Spain;Instituto Madrileno de Investigacion y Desarrollo Rural, Agrario y Alimentario;Spain
B004;Violeta Hevia;FRACTAL Collective, San Remigio 2, 28022 Madrid, Spain;FRACTAL Collective;Spain
B018 ;Violeta Hevia;Department of Applied Research and Agricultural Extension, Madrid Institute for Rural, Agricultural and Food Research and Development (IMIDRA), Ctra. Madrid-Barcelona (N-II), KM. 38.200, 28802 Alcal´a De Henares, Madrid, Spain;Madrid Institute for Rural, Agricultural and Food Research and Development (IMIDRA);Spain
B001;Youssef Bencharki;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Youssef Bencharki;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
