RefCode ;EffectType;Mix;FlowerSpecies
B012;exporter;14;Campanula patula
B012;exporter;14;Campanula rapunculoides
B012;exporter;14;Centaurea scabiosa
B012;exporter;14;Centaureus cyanus
B012;exporter;14;Cichorium intybus
B012;exporter;14;Crepis biennis
B012;exporter;14;Daucus carota
B012;exporter;14;Echium vulgare
B012;exporter;14;Hypochaeris radicata
B012;exporter;14;Leontodon hispidus
B012;exporter;14;Linum usitatissimum
B012;exporter;14;Lotus corniculatus
B012;exporter;14;Melilotus albus
B012;exporter;14;Onobrychis viciifolia
B012;exporter;14;Papaver rhoeas
B012;exporter;14;Phacelia tanacetifolia
B012;exporter;14;Picris hieracioides
B012;exporter;14;Reseda lutea
B012;exporter;14;Sinapis arvensis
B012;exporter;14;Stachys annua
B012;exporter;14;Trifolium hybridum
B012;exporter;14;Trifolium incarnatum
B012;exporter;14;Trifolium pratense
B012;exporter;14;Fagopyrum esculentum
B012;exporter;14;Lamium purpureum
B012;exporter;14;Vicia sativa
B013;neutral;15;Eriogonum fasciculatum foliolosum
B013;neutral;15;Ceanothus griseus
B013;neutral;15;Rhamnus californica tomentella
B013;neutral;15;Baccharis pilularis
B013;neutral;15;Sambucus nigra
B013;neutral;15;Heteromeles arbutifolia
B013;exporter;15;Eriogonum fasciculatum foliolosum
B013;exporter;15;Ceanothus griseus
B013;exporter;15;Rhamnus californica tomentella
B013;exporter;15;Baccharis pilularis
B013;exporter;15;Sambucus nigra
B013;exporter;15;Heteromeles arbutifolia
B014;neutral;NA;NA
B014;concentrator;NA;NA
B015;neutral;16;Zizia aurea
B015;neutral;16;Penstemon digitalis
B015;neutral;16;Coreopsis lanceolata
B015;neutral;16;Rudbeckia hirta
B015;neutral;16;Asclepias incarnata
B015;neutral;16;Asclepias tuberosa
B015;neutral;16;Monarda fistulosa
B015;neutral;16;Eupatorium maculatum
B015;neutral;16;Eupatorium perfoliatum
B015;neutral;16;Lobelia siphilitica
B015;neutral;16;Ratibida pinnata
B015;neutral;16;Silphium perfoliatum
B015;neutral;16;Solidago rigida
B015;neutral;16;Symphyotrichum novae-angliae
B015;neutral;16;Symphyotrichum laeve
B015;neutral;16;Elymus canadensis
B015;neutral;16;Sorghastrum nutans
B015;neutral;16;Andropogon gerardii
B015;exporter;16;Zizia aurea
B015;exporter;16;Penstemon digitalis
B015;exporter;16;Coreopsis lanceolata
B015;exporter;16;Rudbeckia hirta
B015;exporter;16;Asclepias incarnata
B015;exporter;16;Asclepias tuberosa
B015;exporter;16;Monarda fistulosa
B015;exporter;16;Eupatorium maculatum
B015;exporter;16;Eupatorium perfoliatum
B015;exporter;16;Lobelia siphilitica
B015;exporter;16;Ratibida pinnata
B015;exporter;16;Silphium perfoliatum
B015;exporter;16;Solidago rigida
B015;exporter;16;Symphyotrichum novae-angliae
B015;exporter;16;Symphyotrichum laeve
B015;exporter;16;Elymus canadensis
B015;exporter;16;Sorghastrum nutans
B015;exporter;16;Andropogon gerardii
B016;exporter;17;Ceanothus spp.
B016;exporter;17;Rhamnus californica
B016;exporter;17;Eriogonum fasciculatum
B016;exporter;17;Heteromeles arbutifolia
B016;exporter;17;Sambucus mexicana
B016;exporter;17;Baccharis pilularis
B017;concentrator;NA;NA
B018;concentrator;18;Borago officinalis
B018;concentrator;18;Calendula arvensis
B018;concentrator;18;Coriandrum sativum
B018;concentrator;18;Salvia pratensis
B018;concentrator;18;Melilotus officinalis
B018;concentrator;18;Diplotaxis erucoides
B018;concentrator;18;Echium plantagineum
B018;concentrator;18;Silene vulgaris
B018;concentrator;18;Vicia sativa
B018;concentrator;18;Nigella damascena
B018;concentrator;18;Sinapis alba
B018;concentrator;18;Medicago sativa
B019;neutral;NA;NA
B019;exporter;NA;NA
B019;concentrator;NA;NA
B020;exporter;19;Calendula officinalis L.
B020;exporter;19;Coriandrum sativum
B020;exporter;19;Nigella gallica L.
B020;exporter;19;Lobularia maritima L.
B020;exporter;19;Borago officinalis
B020;exporter;19;Diplotaxis virgata Cav.
B020;exporter;19;Diplotaxis catholica
B020;exporter;19;Medicago sativa
B020;exporter;19;Salvia verbenaca
B020;exporter;19;Silene vulgaris
B020;exporter;19;Vicia sativa
B020;neutral;19;Calendula officinalis L.
B020;neutral;19;Coriandrum sativum
B020;neutral;19;Nigella gallica L.
B020;neutral;19;Lobularia maritima L.
B020;neutral;19;Borago officinalis
B020;neutral;19;Diplotaxis virgata Cav.
B020;neutral;19;Diplotaxis catholica
B020;neutral;19;Medicago sativa
