RefCode ;CropType;FlowerSpecies;Mix
B009;cherry (Prunus cerasus);Pycnanthemum virginianum;11
B009;cherry (Prunus cerasus);Ratibida pinnata;11
B009;cherry (Prunus cerasus);Rudbeckia hirta;11
B009;cherry (Prunus cerasus);Rudbeckia triloba;11
B009;cherry (Prunus cerasus);Schizachyrium scoparium;11
B009;cherry (Prunus cerasus);Scrophularia marilandica;11
B009;cherry (Prunus cerasus);Solidago nemoralis;11
B009;cherry (Prunus cerasus);Forb Solidago rigida;11
B009;cherry (Prunus cerasus);Solidago speciosa;11
B009;cherry (Prunus cerasus);Sorghastrum nutans;11
B009;cherry (Prunus cerasus);Symphyotrichum laeve;11
B009;cherry (Prunus cerasus);Symphyotrichum novae-angliae;11
B009;cherry (Prunus cerasus);Symphyotrichum urophyllum;11
B009;cherry (Prunus cerasus);Tradescantia ohiensis;11
B009;cherry (Prunus cerasus);Verbena stricta;11
B009;cherry (Prunus cerasus);Zizia aurea;11
B010;red clover (Trifolium pratense);Phacelia tanacetifolia;12
B011;sunflower (Helianthus annuus);Ammi visnaga;13
B011;sunflower (Helianthus annuus);Asclepia fascicularis;13
B011;sunflower (Helianthus annuus);Atriplex triangularis;13
B011;sunflower (Helianthus annuus);Brassica sp.;13
B011;sunflower (Helianthus annuus);Centaurea solstitialis;13
B011;sunflower (Helianthus annuus);Convolvulus arvensis;13
B011;sunflower (Helianthus annuus);Daucus carota;13
B011;sunflower (Helianthus annuus);Eriogonum fasciculatum;13
B011;sunflower (Helianthus annuus);Foeniculum vulgare;13
B011;sunflower (Helianthus annuus);Grindelia camporum;13
B011;sunflower (Helianthus annuus);Heteromeles arbutifolia;13
B011;sunflower (Helianthus annuus);Lactuca serriola;13
B011;sunflower (Helianthus annuus);Lotus corniculatus;13
B011;sunflower (Helianthus annuus);Picris echioides;13
B011;sunflower (Helianthus annuus);Rosa californica;13
B011;sunflower (Helianthus annuus);Sambucus mexicana;13
B012;strawberry (Fragaria ananassa);Anchusa arvensis;14
B012;strawberry (Fragaria ananassa);Anethum graveolens;14
B012;strawberry (Fragaria ananassa);Anthemis tinctoria;14
B012;strawberry (Fragaria ananassa);Camelina sativa;14
B012;strawberry (Fragaria ananassa);Campanula patula;14
B012;strawberry (Fragaria ananassa);Campanula rapunculoides;14
